(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (255, 255, 255, 255)
(255, 255, 255, 255) (60, 176, 250, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
(60, 176, 250, 255) (255, 255, 255, 255)
(0, 0, 0, 255) (60, 176, 250, 255)
